Sheet: 26022026, D5: Fecha Valor: 27/02/2026, EUR: 493.11253242, USD: 417.3579
Sheet: 25022026, D5: Fecha Valor: 26/02/2026, EUR: 488.60267318, USD: 414.0455
Sheet: 24022026, D5: Fecha Valor: 25/02/2026, EUR: 483.91775346, USD: 411.0857
Sheet: 23022026, D5: Fecha Valor: 24/02/2026, EUR: 480.80451886, USD: 407.3786
Sheet: 20022026, D5: Fecha Valor: 23/02/2026, EUR: 476.70587735, USD: 405.3518
Sheet: 19022026, D5: Fecha Valor: 20/02/2026, EUR: 472.83131604, USD: 402.3343
Sheet: 18022026, D5: Fecha Valor: 19/02/2026, EUR: 471.4169856, USD: 398.7456
Sheet: 13022026, D5: Fecha Valor: 18/02/2026, EUR: 470.28199275, USD: 396.3674
Sheet: 12022026, D5: Fecha Valor: 13/02/2026, EUR: 467.33207495, USD: 393.2216
Sheet: 11022026, D5: Fecha Valor: 12/02/2026, EUR: 463.0843056, USD: 390.2944
Sheet: 10022026, D5: Fecha Valor: 11/02/2026, EUR: 462.78259351, USD: 388.7394
Sheet: 09022026, D5: Fecha Valor: 10/02/2026, EUR: 458.8782156, USD: 385.272
Sheet: 06022026, D5: Fecha Valor: 09/02/2026, EUR: 451.87667684, USD: 382.6318
Sheet: 05022026, D5: Fecha Valor: 06/02/2026, EUR: 449.85917496, USD: 381.1074
Sheet: 04022026, D5: Fecha Valor: 05/02/2026, EUR: 447.21648577, USD: 378.4582
Sheet: 03022026, D5: Fecha Valor: 04/02/2026, EUR: 442.58984835, USD: 375.0825
Sheet: 02022026, D5: Fecha Valor: 03/02/2026, EUR: 439.63916349, USD: 372.1057
Sheet: 30012026, D5: Fecha Valor: 02/02/2026, EUR: 440.4768495, USD: 370.2544
Sheet: 29012026, D5: Fecha Valor: 30/01/2026, EUR: 439.46801357, USD: 367.3069
Sheet: 28012026, D5: Fecha Valor: 29/01/2026, EUR: 434.42734695, USD: 363.6623
Sheet: 27012026, D5: Fecha Valor: 28/01/2026, EUR: 432.71509291, USD: 361.4906
Sheet: 26012026, D5: Fecha Valor: 27/01/2026, EUR: 426.18718878, USD: 358.9247
Sheet: 23012026, D5: Fecha Valor: 26/01/2026, EUR: 417.58609701, USD: 355.5528
Sheet: 22012026, D5: Fecha Valor: 23/01/2026, EUR: 413.38941891, USD: 352.7063
Sheet: 21012026, D5: Fecha Valor: 22/01/2026, EUR: 409.64927522, USD: 349.9272
Sheet: 20012026, D5: Fecha Valor: 21/01/2026, EUR: 407.17293001, USD: 347.2631
Sheet: 16012026, D5: Fecha Valor: 20/01/2026, EUR: 400.49294882, USD: 344.5071
Sheet: 15012026, D5: Fecha Valor: 16/01/2026, EUR: 396.47939622, USD: 341.7425
Sheet: 14012026, D5: Fecha Valor: 15/01/2026, EUR: 395.26856776, USD: 339.1495
Sheet: 13012026, D5: Fecha Valor: 14/01/2026, EUR: 391.8845899, USD: 336.4596
Sheet: 09012026, D5: Fecha Valor: 13/01/2026, EUR: 384.33196133, USD: 330.3751
Sheet: 08012026, D5: Fecha Valor: 09/01/2026, EUR: 379.64157466, USD: 325.3894
Sheet: 07012026, D5: Fecha Valor: 08/01/2026, EUR: 375.30923096, USD: 321.0323
Sheet: 06012026, D5: Fecha Valor: 07/01/2026, EUR: 364.83886172, USD: 311.8814
Sheet: 05012026, D5: Fecha Valor: 06/01/2026, EUR: 360.50390344, USD: 308.1546
Sheet: 02012026, D5: Fecha Valor: 05/01/2026, EUR: 357.88579854, USD: 304.6796
